recipient_name,recipient_state,total_spent
CARMINE'S,DC,24399.160000000003
THE BUTCHER BLOCK,NJ,10877.1
CORCORAN CATERERS,MD,8278.55
OSTERIA MORINI,DC,7695.79
MONMOUTH PARK RACETRACK,NJ,7579.549999999999
THE FROG & THE PEACH,NJ,7224.91
HINE RESTAURANTS LLC,DC,6451.56
STEAKHOUSE 85,NJ,4608.86
CHARLIE PALMER STEAK HOUSE,DC,4485.04
LARDENTE,DC,4212.5
LAVAGNA,DC,4071.9
HOLLYWOOD GOLF CLUB,NJ,3818.63
RASOI,NJ,3471.46
OCEAN PLACE RESORT,NJ,3214.6699999999996
RPM ITALIAN,DC,3035.41
THE SALT LINE,DC,2965.25
ALL PURPOSE RIVERFRONT,DC,2761.17
HILTON EAST BRUNSWICK,NJ,2690.81
THE DUBLINER,DC,2229.56
BLUE GROTTO RESTAURANT,NJ,1966
DUE SOUTH DOCKSIDE,DC,1950
MARINA AT OCEANPORT,NJ,1887.27
BISTRO BIS RESTAURANT,DC,1792.39
TBD INC,NJ,1671.88
OCCASIONS CATERERS,DC,1381.74
CAVA RESTAURANT,DC,1300
TRIUMPH BREWING COMPANY,NJ,1138.35
DCANTER WINE BOUTIQUE,DC,1067.3
BELL LIQUORS,NJ,942.37
LEVY RESTAURANTS AT AUDI FIELD,DC,932.8
NAUVOO GRILL,NJ,897.38
HILL COUNTRY BARBECUE,DC,893.5799999999999
NATIONAL DEMOCRATIC CLUB,DC,851.1
COURT LIQUORS,NJ,841.96
SCALA'S PIZZERIA,NJ,752.47
LOCAL SMOKE BBQ,NJ,660.43
AMERICANA KITCHEN & BAR,NJ,642.1
ROCKAFELLERS PIZZERIA,NJ,598.6
SANTA ROSA TAQUERIA,DC,499.2
AMISH MANHATTAN FOOD MARKET,NY,394.97
PANERA BREAD,NJ,330.46
TAKA RESTAURANT,NJ,330.13
ALTERNATE ENDING BEER CO,NJ,259.09
STARBUCKS COFFEE CO,NJ,251.69
CONGRESSIONAL LIQUOR STORE,DC,238.07
LEGENDS CATERING,NJ,225.45
CRAVINGS GOURMET,NJ,183.8
SIDES GRILL & DINNER,NJ,121.33
EDIBLE ARRANGEMENTS,NJ,117.27
