GEOID,state,variable,estimate,moe,year,state_abbrev,players,per_capita
11,District of Columbia,population,671803,NA,2022,DC,17,2.530503733981539
24,Maryland,population,6164660,NA,2022,MD,133,2.1574588055140107
19,Iowa,population,3200517,NA,2022,IA,69,2.1559016871336723
22,Louisiana,population,4590241,NA,2022,LA,98,2.134964155476804
27,Minnesota,population,5717184,NA,2022,MN,116,2.028970905956499
05,Arkansas,population,3045637,NA,2022,AR,61,2.0028650820829927
18,Indiana,population,6833037,NA,2022,IN,134,1.9610606528253833
40,Oklahoma,population,4019800,NA,2022,OK,76,1.8906413254390766
28,Mississippi,population,2940057,NA,2022,MS,53,1.8026861383979969
13,Georgia,population,10912876,NA,2022,GA,194,1.777716524956391
46,South Dakota,population,909824,NA,2022,SD,16,1.758581879572313
47,Tennessee,population,7051339,NA,2022,TN,122,1.7301678447171522
39,Ohio,population,11756058,NA,2022,OH,198,1.6842380328508075
20,Kansas,population,2937150,NA,2022,KS,49,1.6682838806325861
34,New Jersey,population,9261699,NA,2022,NJ,150,1.619573255403787
21,Kentucky,population,4512310,NA,2022,KY,72,1.5956350516697655
55,Wisconsin,population,5892539,NA,2022,WI,94,1.5952376386477882
51,Virginia,population,8683619,NA,2022,VA,137,1.5776832217074472
49,Utah,population,3380800,NA,2022,UT,53,1.5676762896355891
17,Illinois,population,12582032,NA,2022,IL,197,1.565724836814912
29,Missouri,population,6177957,NA,2022,MO,87,1.408232527354917
53,Washington,population,7785786,NA,2022,WA,106,1.361455349530542
01,Alabama,population,5074296,NA,2022,AL,69,1.3597945409570116
16,Idaho,population,1939033,NA,2022,ID,26,1.3408745493243281
42,Pennsylvania,population,12972008,NA,2022,PA,173,1.3336408673198474
37,North Carolina,population,10698973,NA,2022,NC,137,1.2804967355277932
31,Nebraska,population,1967923,NA,2022,NE,25,1.270374907961338
30,Montana,population,1122867,NA,2022,MT,14,1.2468083931578717
02,Alaska,population,733583,NA,2022,AK,9,1.2268550388981205
09,Connecticut,population,3626205,NA,2022,CT,44,1.2133897559569853
48,Texas,population,30029572,NA,2022,TX,346,1.1521975737782744
33,New Hampshire,population,1395231,NA,2022,NH,16,1.1467635108451575
36,New York,population,19677151,NA,2022,NY,217,1.102801924933137
50,Vermont,population,647064,NA,2022,VT,7,1.081809527341963
23,Maine,population,1385340,NA,2022,ME,14,1.0105822397389812
44,Rhode Island,population,1093734,NA,2022,RI,11,1.005728998092772
45,South Carolina,population,5282634,NA,2022,SC,52,0.9843574247241054
10,Delaware,population,1018396,NA,2022,DE,10,0.9819362998283576
26,Michigan,population,10034118,NA,2022,MI,96,0.9567358087676466
25,Massachusetts,population,6981974,NA,2022,MA,66,0.945291403262172
54,West Virginia,population,1775156,NA,2022,WV,16,0.9013292352897435
41,Oregon,population,4240137,NA,2022,OR,37,0.872613314145274
08,Colorado,population,5839926,NA,2022,CO,50,0.8561752323573963
15,Hawaii,population,1440196,NA,2022,HI,11,0.7637849292735155
12,Florida,population,22244823,NA,2022,FL,169,0.7597273307142071
06,California,population,39029342,NA,2022,CA,295,0.7558415922051671
56,Wyoming,population,581381,NA,2022,WY,4,0.6880169802590728
04,Arizona,population,7359197,NA,2022,AZ,50,0.6794219532375612
32,Nevada,population,3177772,NA,2022,NV,21,0.6608403623670924
35,New Mexico,population,2113344,NA,2022,NM,12,0.5678204778777142
38,North Dakota,population,779261,NA,2022,ND,4,0.513306838145371
72,Puerto Rico,population,3221789,NA,2022,PR,6,0.18623193511431071
