hometown_clean,n
"BALTIMORE, MD",22
"UPPER MARLBORO, MD",11
"CLINTON, MD",5
"CAPITOL HEIGHTS, MD",4
"FREDERICK, MD",4
"LAUREL, MD",4
"SILVER SPRING, MD",4
"COLUMBIA, MD",3
"ELLICOTT CITY, MD",3
"SUITLAND, MD",3
"ACCOKEEK, MD",2
"BELTSVILLE, MD",2
"BETHESDA, MD",2
"BOWIE, MD",2
"CHEVY CHASE, MD",2
"DISTRICT HEIGHTS, MD",2
"ELKRIDGE, MD",2
"GAITHERSBURG, MD",2
"GERMANTOWN, MD",2
"GLEN BURNIE, MD",2
"LA PLATA, MD",2
"LANHAM, MD",2
"MIDDLETOWN, MD",2
"ODENTON, MD",2
"SEAT PLEASANT, MD",2
"WALDORF, MD",2
"WESTMINSTER, MD",2
"ANNAPOLIS, MD",1
"BEL AIR, MD",1
"BOWIE, MARYLAND",1
"BURTONSVILLE, MD",1
"CAPITAL HEIGHTS, MD",1
"CENTREVILLE, MD",1
"DAMASCUS, MD",1
"DERWOOD, MD",1
"ELKTON, MD",1
"ELLICOT CITY, MD",1
"FORESTVILLE, MD",1
"FORT WASHINGTON, MD",1
"GLENN DALE, MD",1
"GREENBELT, MD",1
"HAGERSTOWN, MD",1
"HANOVER, MD",1
"HYATTSVILLE, MD",1
"INDIAN HEAD, MD",1
"LARGO, MD",1
"MITCHELLVILLE, MD",1
"NEW CARROLLTON, MD",1
"NORTH BETHESDA, MD",1
"NORTH EAST, MD",1
"NORTH POTOMAC, MD",1
"OLNEY, MARYLAND",1
"OWINGS MILLS, MD",1
"OXON HILL, MD",1
"PERRY HALL, MD",1
"PIKESVILLE, MD",1
"POTOMAC, MD",1
"RIVERDALE, MD",1
"ROCKVILLE, MD",1
"TANEYTOWN, MD",1
"WESTMINSTER, MARYLAND",1
"WHITE PLAINS, MD",1
"WOODBINE, MD",1
